conc,D/A
67.0135,0.256251
67.1103,0.25215
67.1477,0.259242
67.3658,0.244586
67.437,0.259238
67.4564,0.25193
67.4686,0.25858
67.4783,0.25685
67.5166,0.260249
67.5406,0.258268
67.7068,0.245305
67.7332,0.248986
67.7576,0.264859
67.7811,0.261291
67.9094,0.258857
67.9834,0.26964
68.0623,0.259496
68.0845,0.259895
68.1238,0.252741
68.153,0.247616
68.1581,0.253876
68.215,0.259195
68.2603,0.254874
68.2873,0.248996
68.391,0.270314
68.4273,0.258963
68.4405,0.267243
68.4461,0.264967
68.4489,0.256293
68.5046,0.251006
68.5052,0.248091
68.5819,0.246734
68.6321,0.246084
68.6517,0.249937
68.7054,0.239115
68.7092,0.263083
68.7547,0.251503
68.8063,0.253949
68.8186,0.242925
68.8581,0.260114
68.892,0.260969
68.8943,0.245953
68.9339,0.259597
69.0086,0.264196
69.0357,0.270506
69.0931,0.260203
69.1148,0.261395
69.1421,0.244628
69.1665,0.254384
69.2421,0.2581
69.2441,0.257103
69.2895,0.260625
69.2942,0.253566
69.3027,0.239755
69.3196,0.249254
69.4112,0.252697
69.4475,0.246986
69.556,0.250315
69.6042,0.254675
69.715,0.260482
69.9383,0.253488
69.9418,0.264363
70.0504,0.256328
70.0515,0.262463
70.1094,0.247056
70.1137,0.259753
70.1421,0.251223
70.2292,0.256437
70.3092,0.246386
70.3463,0.261314
70.357,0.258471
70.4046,0.250499
70.4613,0.258828
70.557,0.273616
70.6216,0.251948
70.6885,0.250865
70.7028,0.256411
70.7338,0.245227
70.7599,0.25518
70.7784,0.250376
70.8927,0.248671
70.9546,0.246294
70.9853,0.248247
70.9905,0.247413
71.0365,0.258449
71.0575,0.26095
71.0785,0.259435
71.0814,0.25945
71.0857,0.263829
71.1175,0.254577
71.1442,0.26356
71.1588,0.259681
71.2147,0.239289
71.2825,0.26278
71.3754,0.256717
71.4517,0.256598
71.4708,0.249873
71.5211,0.257086
71.5684,0.25497
71.7024,0.260223
71.7306,0.24853
71.7503,0.256653
71.7859,0.257159
71.798,0.252372
71.853,0.244687
71.8752,0.248754
71.963,0.257341
71.998,0.258167
72.0029,0.256025
72.0418,0.256546
72.0458,0.242911
72.0468,0.25459
72.0967,0.251694
72.1059,0.261516
72.1275,0.241793
72.1385,0.258914
72.2174,0.238
72.2587,0.262501
72.2712,0.260561
72.2829,0.25487
72.3349,0.267548
72.3953,0.260026
72.4137,0.24511
72.4434,0.25643
72.4928,0.244088
72.5964,0.250118
72.6416,0.255956
72.6505,0.252166
72.6739,0.260494
72.696,0.261798
72.7108,0.258558
72.8608,0.251503
72.9482,0.24913
72.9958,0.246899
73.0502,0.261293
73.0952,0.256583
73.1211,0.247506
73.1255,0.255995
73.1709,0.264105
73.2308,0.25282
73.3307,0.257909
73.3617,0.249258
73.398,0.262466
73.4967,0.246402
73.5107,0.249367
73.5188,0.250952
73.549,0.266153
73.7224,0.255192
73.8367,0.253552
74.0138,0.244053
74.0488,0.26716
74.057,0.245093
74.1114,0.255161
74.1479,0.240232
74.1636,0.238016
74.1868,0.261745
74.2995,0.26188
74.3072,0.25746
74.3749,0.242811
74.4872,0.251014
74.5618,0.251957
74.562,0.259782
74.5815,0.254717
74.6365,0.259553
74.6431,0.249917
74.6621,0.258517
74.7962,0.260186
74.8281,0.257552
74.85,0.24119
74.8853,0.25397
74.9975,0.26231
75.0409,0.252502
75.107,0.242351
75.1176,0.256549
75.1848,0.261699
75.1898,0.260762
75.211,0.245809
75.3216,0.256733
75.3315,0.252635
75.3394,0.24343
75.4178,0.26002
75.4856,0.243194
75.5861,0.248722
75.5973,0.239857
75.788,0.259063
75.821,0.259625
75.8639,0.253908
75.9187,0.251008
75.9521,0.247129
75.9964,0.259088
76.0485,0.259876
76.1369,0.266625
76.1564,0.256162
76.3032,0.237304
76.3181,0.258662
76.4797,0.253884
76.5279,0.259795
76.5708,0.250126
76.6012,0.237785
76.6786,0.252695
76.7664,0.239199
76.8108,0.236544
76.8192,0.259756
76.832,0.256248
76.8594,0.264532
76.8673,0.245511
76.8744,0.24557
76.9485,0.262112
76.9758,0.261196
77.0686,0.254494
77.0733,0.260727
77.0939,0.264604
77.1173,0.254483
77.12,0.260796
77.1367,0.259224
77.1548,0.254645
77.1955,0.257808
77.2247,0.242578
77.2499,0.247885
77.2938,0.251882
77.3933,0.242695
77.4045,0.253799
77.4245,0.251507
77.4512,0.262935
77.5123,0.254298
